活躍治癒術,GM_AP_HEAL
雷電強化,EL_GUST
反射盾,CR_REFLECTSHIELD
絕對零度,EL_CHILLY_AIR
急速降溫,EL_COOLER
復興公會員體力,GD_REGENERATION
聖十字攻擊,CR_HOLYCROSS
雲殺,SO_CLOUD_KILL
冰封領域,EL_AQUAPLAY
精靈激發,SO_EL_ACTION
聖十字審判,CR_GRANDCROSS
水之紋章,SO_WATER_INSIGNIA
全氣注入,SR_POWERVELOCITY
犧牲,CR_DEVOTION
召喚水精靈阿奎亞,SO_SUMMON_AQUA
基本技能,NV_BASIC
石化術,MG_STONECURSE
神祐之光,CR_PROVIDENCE
感恩祈禱,AB_EUCHARISTICA
光之盾,CR_DEFENDER
靜寂,AB_SILENTIUM
長矛加速術,CR_SPEARQUICKEN
召喚地精靈泰拉,SO_SUMMON_TERA
鐵沙掌,MO_IRONHAND
召喚風精靈梵圖斯,SO_SUMMON_VENTUSサモンベントス
運氣調息,MO_SPIRITSRECOVERY
元素分析,SO_EL_ANALYSIS
蓄氣,MO_CALLSPIRITS
聖槍刺擊,SO_VARETYR_SPEAR
吸氣,MO_ABSORBSPIRITS
極限空虛,SO_VACUUM_EXTREME
六合拳,MO_TRIPLEATTACK
天神下凡,EL_POWER_OF_GAIA
弓身彈影,MO_BODYRELOCATION
點穴-球,SR_GENTLETOUCH_ENERGYGAIN
移花接木,MO_DODGE
大地墳場,SO_EARTHGRAVE
浸透勁,MO_INVESTIGATE
魔力拳,SO_SPELLFIST
彈指神通,MO_FINGEROFFENSIVE
電流步,SO_ELECTRICWALK
金剛不壞,MO_STEELBODY
無限哼唱聲,WM_UNLIMITED_HUMMING_VOICE
真劍百破道,MO_BLADESTOP
搖擺\舞,WA_SWING_DANCE
爆氣,MO_EXPLOSIONSPIRITS
狂歡週末夜,WM_SATURDAY_NIGHT_FEVER
阿修羅霸凰拳,MO_EXTREMITYFIST
火球術,MG_FIREBALL
連環全身掌,MO_CHAINCOMBO
毀滅之聲,WM_SOUND_OF_DESTRUCTION
猛龍誇強,MO_COMBOFINISH
與狼共舞,WM_DANCE_WITH_WUG
進化之書,SA_ADVANCEDBOOK
魔力之歌,WM_SONG_OF_MANA
取消施法,SA_CASTCANCEL
白色監獄,WL_WHITEIMPRISON
魔法懲罰,SA_MAGICROD
魔力凍結,WL_STASIS
念咒拆除,SA_SPELLBREAKER
屬性漩渦,WL_TETRAVORTEX
自由施法,SA_FREECAST
巨大共鳴,WM_GREAT_ECHO
自動念咒,SA_AUTOSPELL
火屬性附加,SA_FLAMELAUNCHER
騎狼術,RA_WUGRIDER
水屬性附加,SA_FROSTWEAPON
紫紅陷阱,RA_MAGENTATRAP
風屬性附加,SA_LIGHTNINGLOADER
衝擊椎,NC_PILEBUNKER
地屬性附加,SA_SEISMICWEAPON
大步後退,NC_B_SIDESLIDE
龍知識,SA_DRAGONOLOGY
中性防護罩,NC_NEUTRALBARRIER
火元素領域,SA_VOLCANO
FAW銀光狙擊手,NC_SILVERSNIPER
水元素領域,SA_DELUGE
人體彩繪,SC_BODYPAINT
風元素領域,SA_VIOLENTGALE
火焰之壁,MG_FIREWALL
地元素領域,SA_LANDPROTECTOR
羞怯一天的憂鬱,WM_GLOOMYDAY
魔法效果解除,SA_DISPELL
先鋒部隊,LG_FORCEOFVANGUARD
隨機技能,SA_ABRACADABRA
變換成波利,SA_MONOCELL
變換成Boss級魔物,SA_CLASSCHANGE
旋風腿,SR_WINDMILL
召喚魔物,SA_SUMMONMONSTER
點穴-快,SR_GENTLETOUCH_CURE
變成獸人面孔,SA_REVERSEORCISH
沉睡搖籃曲,WM_LULLABY_DEEPSLEEP
死身,SA_DEATH
死亡峽谷,WM_DEADHILLHERE
宿命,SA_FORTUNE
大暴雨,WM_SEVERE_RAINSTORMシビアレインストーム
認養寵物,SA_TAMINGMONSTER
朝風車突擊,MI_RUSH_WINDMILL
問號,SA_QUESTION
重力社,SA_GRAVITY
升級,SA_LEVELUP
課程,WM_LESSON
當場死亡,SA_INSTANTDEATH
回音之歌,MI_ECHOSONG
完全恢復,SA_FULLRECOVERY
支配動力,WM_DOMINION_IMPULSE
頻死之術,SA_COMA
火箭術,MG_FIREBOLT
臨機應變,BD_ADAPTATION
戰嚎的彼端,WM_BEYOND_OF_WARCRY
安可,BD_ENCORE
點穴-活,SR_GENTLETOUCH_REVITALIZE
搖籃曲,BD_LULLABY
超自然波,SO_PSYCHIC_WAVE
經驗值倍增,BD_RICHMANKIM
召喚火元素,SO_SUMMON_AGNI
永遠的混沌,BD_ETERNALCHAOS
火之紋章,SO_FIRE_INSIGNIA
戰鼓震天,BD_DRUMBATTLEFIELD
咒縛陣,SR_CURSEDCIRCLE
尼貝隆根之戒指,BD_RINGNIBELUNGEN
爆炸孢子,GN_SPORE_EXPLOSION
洛奇的悲鳴,BD_ROKISWEIL
觸媒之所,BD_INTOABYSS
專門配藥,GN_S_PHARMACY
不死神齊格弗里德,BD_SIEGFRIED
恢復公會員體力,GD_RESTORE
仙境傳說,BD_RAGNAROK
靈感,LG_INSPIRATION
操控樂器,BA_MUSICALLESSON
虔誠,LG_PIETY
樂器攻擊,BA_MUSICALSTRIKE
威信,LG_PRESTIGE
不諧和音,BA_DISSONANCE
奧丁之神力,ALL_ODINS_POWER
冷笑話,BA_FROSTJOKE
強化衝擊,LG_EXEEDBREAK
吹口哨,BA_WHISTLE
雷擊術,MG_LIGHTNINGBOLT
刺客的黃昏,BA_ASSASSINCROSS
憤怒突擊,LG_RAGEBURST
布萊奇之詩,BA_POEMBRAGI
犧牲,ML_DEVOTION
伊登的蘋果,BA_APPLEIDUN
摧殘,LG_TRAMPLE
練習舞蹈,DC_DANCINGLESSON
漩渦,SC_MAELSTROM
纏箭投擲,DC_THROWARROW
混沌恐慌,SC_CHAOSPANIC
醜陋之舞,DC_UGLYDANCE
異次元之門,SC_DIMENSIONDOOR
驚聲尖叫,DC_SCREAM
人孔,SC_MANHOLE
哼唱之音,DC_HUMMING
烈焰強化,EL_PYROTECHNIC
勿忘我,DC_DONTFORGETME
面具-衰弱,SC_WEAKNESS
女神之吻,DC_FORTUNEKISS
面具-不幸,SC_UNLUCKY
為您服務,DC_SERVICEFORYOU
面具-無知,SC_IGNORANCE
面具-憂鬱,SC_GROOMY
透明術,SC_INVISIBILITY
自動魅影念咒,SC_AUTOSHADOWSPELL
繁殖,SC_REPRODUCE
FAW魔法傀儡,NC_MAGICDECOY
只呵護妳,WE_MALE
迴旋斧,NC_AXEBOOMERANG
只為你犧牲,WE_FEMALE
雷爆術,MG_THUNDERSTORM
想念你,WE_CALLPARTNER
火焰與大地的研究,NC_RESEARCHFE
投擲風靈之斧,ITM_TOMAHAWK
隱形力場,NC_STEALTHFIELD
紅外線掃瞄,NC_INFRAREDSCAN
緊急冷卻,NC_EMERGENCYCOOL
形態轉換,NC_SHAPESHIFT
自我摧毀,NC_SELFDESTRUCTION
主體改造,NC_MAINFRAME
魔導機甲加速,NC_ACCELERATION
冰封陷阱,RA_ICEBOUNDTRAP
燃燒陷阱,RA_FIRINGTRAP
青翠陷阱,RA_VERDURETRAP
深藍陷阱,RA_COBALTTRAP
敏銳嗅覺,RA_SENSITIVEKEEN
狼牙,RA_TOOTHOFWUG
疾狼術,RA_WUGDASH
電擊陷阱,RA_ELECTRICSHOCKER
雷管,RA_DETONATOR
瞄準標靶,RA_AIMEDBOLT
遊俠主意,RA_RANGERMAIN
微風恐懼,RA_FEARBREEZE
連鎖電擊,WL_CHAINLIGHTNING
吸星大法,WL_DRAINLIFE
魔法省悟,WL_RECOGNIZEDSPELL
天使之護,AL_DP
深淵沼地,WL_MARSHOFABYSS
二道聖光,AB_DUPLELIGHT
贖罪,AB_EXPIATIO
靈氣劍,LK_AURABLADE
淨化,AB_RENOVATIO
雙劍挌擋,LK_PARRYING
羔羊歌頌,AB_LAUDAAGNUS
集中攻擊,LK_CONCENTRATION
祈禱文,AB_ORATIO
極速回復,LK_TENSIONRELAX
感恩歌,AB_PRAEFATIO
狂怒之槍,LK_BERSERK
聖靈降臨祈禱,AB_EPICLESIS
燦爛聖光,AB_CHEAL
安希拉,AB_ANCILLA
聖母之祈福,HP_ASSUMPTIO
幻影步,GC_HALLUCINATIONWALK
神聖殿堂,HP_BASILICA
劇毒強制賦予,GC_VENOMPRESSURE
冥想,HP_MEDITATIO
卸除武裝,GC_WEAPONCRUSH
吸魂術,HW_SOULDRAIN
劇毒武器,GC_POISONINGWEAPON
魔擊術,HW_MAGICCRASHER
黑色幻影,GC_DARKILLUSION
豐足,RK_ABUNDANCE
神之威壓,PA_PRESSURE
天使之擊,AL_DEMONBANE
捨命攻擊,PA_SACRIFICE
岩石皮膚,RK_STONEHARDSKIN
聖音,PA_GOSPEL
力量成長,RK_GIANTGROWTH
猛虎硬爬山,CH_PALMSTRIKE
千年神盾,RK_MILLENNIUMSHIELD
伏虎拳,CH_TIGERFIST
龍駕馭,RK_DRAGONTRAINING
氣絕崩擊,CH_CHAINCRUSH
死亡反彈,RK_DEATHBOUND
HP轉換,PF_HPCONVERSION
變更指示,HVAN_INSTRUCT
心神互換,PF_SOULCHANGE
精神耗弱術,PF_SOULBURN
魔鏡,NPC_MAGICMIRROR
高階拳刃修練,ASC_KATAR
<黑暗搜集者>寶石之夢,DA_DREAM
<黑暗搜集者>暮光,DA_SPACE
緊急呼叫,GD_EMERGENCYCALL
致命塗毒,ASC_EDP
<死亡騎士>夢魘,DE_NIGHTMARE
神槍手之魂,SL_GUNNER
狙殺瞄準,SN_SIGHT
認養寵物大師,MB_MUNAKKNOWLEDGE
獵鷹突擊,SN_FALCONASSAULT
念,NJ_NEN
榻榻米攻擊,NJ_TATAMIGAESHI
連鎖衝擊,GS_CHAINACTION
暗雲,KO_YAMIKUMO
右手修練,KO_RIGHT
左手修練,KO_LEFT
幽冥十字斬,KO_JYUMONJIKIRI
靈魂阻隔,KO_SETSUDAN
炸彈飛刀,KO_BAKURETSU
八方飛刀,KO_HAPPOKUNAI
投擲魔幣,KO_MUCHANAGE
風魔飛鏢之飛舞,KO_HUUMARANKA
投擲三角釘,KO_MAKIBISHI
明鏡止水,KO_MEIKYOUSISUI
幻術 – 殘影,KO_ZANZOU
幻術 – 驚恐,KO_KYOUGAKU
幻術 – 咒死,KO_JYUSATSU
火符:炎天,KO_KAHU_ENTEN
冰符:吹雪,KO_HYOUHU_HUBUKI
風符:青嵐,KO_KAZEHU_SEIRAN
地符:剛塊,KO_DOHU_KOUKAI
法術–釋放,KO_KAIHOU
法術–施展,KO_ZENKAI
幻術–迷惑,KO_GENWAKU
十六夜,KO_IZAYOI
踏影,KG_KAGEHUMI
虛無飄妙之影,KG_KYOMU
影子武士,KG_KAGEMUSYA
變形的上弦月,OB_ZANGETSU
